path,kind,size_bytes,size_mb,size_gb,ext,relpath
data\user_data\D3\tabular\tabular_000214.csv,csv,1229821,1.1728487014770508,0.0011453600600361824,.csv,tabular\tabular_000214.csv
data\user_data\D3\tabular\tabular_000215.csv,csv,4363225,4.16109561920166,0.004063569940626621,.csv,tabular\tabular_000215.csv
data\user_data\D3\tabular\tabular_000216.csv,csv,2200759,2.0988073348999023,0.002049616537988186,.csv,tabular\tabular_000216.csv
data\user_data\D3\tabular\tabular_000217.csv,csv,10981191,10.472479820251465,0.010227031074464321,.csv,tabular\tabular_000217.csv
data\user_data\D3\tabular\tabular_000218.csv,csv,19164058,18.276269912719727,0.017847919836640358,.csv,tabular\tabular_000218.csv
data\user_data\D3\tabular\tabular_000219.csv,csv,4049578,3.861978530883789,0.0037714634090662003,.csv,tabular\tabular_000219.csv
data\user_data\D3\tabular\tabular_000220.csv,csv,2235229,2.131680488586426,0.0020817192271351814,.csv,tabular\tabular_000220.csv
data\user_data\D3\tabular\tabular_000221.csv,csv,4303948,4.104564666748047,0.0040083639323711395,.csv,tabular\tabular_000221.csv
data\user_data\D3\tabular\tabular_000222.csv,csv,7856876,7.492900848388672,0.007317285984754562,.csv,tabular\tabular_000222.csv
data\user_data\D3\tabular\tabular_000223.csv,csv,12368695,11.795706748962402,0.011519244872033596,.csv,tabular\tabular_000223.csv
data\user_data\D3\tabular\tabular_000224.csv,csv,9610823,9.165595054626465,0.008950776420533657,.csv,tabular\tabular_000224.csv
data\user_data\D3\tabular\tabular_000225.csv,csv,9665032,9.217292785644531,0.009001262485980988,.csv,tabular\tabular_000225.csv
data\user_data\D3\tabular\tabular_000226.csv,csv,2226865,2.123703956604004,0.0020739296451210976,.csv,tabular\tabular_000226.csv
data\user_data\D3\tabular\tabular_000227.csv,csv,4680920,4.464073181152344,0.004359446465969086,.csv,tabular\tabular_000227.csv
data\user_data\D3\tabular\tabular_000228.csv,csv,20684375,19.726157188415527,0.01926382537931204,.csv,tabular\tabular_000228.csv
data\user_data\D3\tabular\tabular_000229.csv,csv,2975811,2.837954521179199,0.0027714399620890617,.csv,tabular\tabular_000229.csv
data\user_data\D3\tabular\tabular_000230.csv,csv,1152178,1.0988025665283203,0.0010730493813753128,.csv,tabular\tabular_000230.csv
data\user_data\D3\tabular\tabular_000231.csv,csv,2323661,2.2160158157348633,0.0021640779450535774,.csv,tabular\tabular_000231.csv
data\user_data\D3\tabular\tabular_000232.csv,csv,4717684,4.499134063720703,0.004393685609102249,.csv,tabular\tabular_000232.csv
data\user_data\D3\tabular\tabular_000233.csv,csv,1851465,1.7656946182250977,0.001724311150610447,.csv,tabular\tabular_000233.csv
data\user_data\D3\tabular\tabular_000234.csv,csv,1373524,1.3098945617675781,0.0012791939079761505,.csv,tabular\tabular_000234.csv
data\user_data\D3\tabular\tabular_000235.csv,csv,17440682,16.63273048400879,0.016242900863289833,.csv,tabular\tabular_000235.csv
