algorithm,keygen_us,encaps_us,decaps_us
Kyber512,4326.9,6749.3,7383.0
Kyber512,6363.2,5103.7,7776.2
Kyber512,4038.5,12209.7,11037.9
Kyber512,4137.4,5335.1,8650.6
Kyber512,5428.5,5422.4,7262.5
Kyber512,5035.9,6409.7,7552.2
Kyber512,3864.5,5062.8,7422.6
Kyber512,5197.7,5100.9,7676.6
Kyber512,4220.0,5095.9,7508.7
Kyber512,3999.6,5084.2,7552.1
Kyber512,3663.9,5104.7,8528.5
Kyber512,4367.4,5123.3,7649.3
Kyber512,3675.4,5084.2,7887.5
Kyber512,4113.4,5088.2,7627.7
Kyber512,4965.6,5095.0,8737.2
Kyber512,3637.1,5065.2,9051.4
Kyber512,3686.1,5115.6,8448.6
Kyber512,3672.1,5255.8,7457.0
Kyber512,3660.2,5158.7,10006.3
Kyber512,3674.5,5220.8,8214.8
Kyber512,3675.1,5405.2,10329.3
Kyber512,3716.4,5816.3,8514.1
Kyber512,7272.2,8413.1,9143.1
Kyber512,4298.2,9034.2,7441.6
Kyber512,6740.7,9484.8,12754.0
Kyber512,3725.0,5308.3,13964.8
Kyber512,3698.2,7033.0,7464.4
Kyber512,4295.9,6868.2,7307.9
Kyber512,3704.7,5127.0,7270.9
Kyber512,3740.8,6638.0,7377.9
Kyber512,4189.6,5142.0,7633.5
Kyber512,5161.7,10157.0,8537.0
Kyber512,4384.1,5122.2,7649.7
Kyber512,3683.5,5116.2,8299.9
Kyber512,3722.4,5093.9,9077.2
Kyber512,3689.3,5741.2,7597.7
Kyber512,3690.7,6511.1,8345.0
Kyber512,3677.3,5744.6,7630.2
Kyber512,3679.9,6023.8,7294.3
Kyber512,3669.9,10444.6,7307.3
Kyber512,4205.0,5125.0,7344.9
Kyber512,4826.3,5114.6,8588.0
Kyber512,3692.2,5109.2,9257.1
Kyber512,3715.0,5102.2,9742.1
Kyber512,3690.6,5126.8,15129.4
Kyber512,3913.3,5333.2,7296.3
Kyber512,3914.7,5839.2,7303.2
Kyber512,3817.3,8805.5,7295.8
Kyber512,5541.4,5095.5,7357.1
Kyber512,3836.0,5093.2,7580.0
Kyber512,4584.8,5103.8,9140.3
Kyber512,7068.1,5170.7,12623.4
Kyber512,3736.3,8373.3,7751.3
Kyber512,5441.0,5198.7,7611.7
Kyber512,6028.9,5137.3,8539.8
Kyber512,3817.2,5149.7,9227.0
Kyber512,3726.4,5160.3,9038.2
Kyber512,3764.3,5350.0,12089.9
Kyber512,4003.9,5877.7,7934.6
Kyber512,3880.2,7783.2,7606.1
Kyber512,3903.7,5691.4,7642.6
Kyber512,4943.0,5607.4,7740.0
Kyber512,4415.2,5325.5,7580.3
Kyber512,4913.3,5344.4,9819.0
Kyber512,3890.3,5333.7,10678.1
Kyber512,3891.4,5313.3,8385.1
Kyber512,3860.8,5553.2,8291.0
Kyber512,3901.6,6242.6,7620.1
Kyber512,3862.5,5461.9,7593.4
Kyber512,3870.7,7249.7,7615.7
Kyber512,3871.7,7781.4,7377.0
Kyber512,4022.1,5369.6,7271.5
Kyber512,5249.3,6614.5,7304.6
Kyber512,4824.4,5082.0,8595.9
Kyber512,3737.3,5087.2,7520.5
Kyber512,3738.1,5085.3,7869.1
Kyber512,3816.3,5129.4,8486.3
Kyber512,3959.9,5111.4,9649.9
Kyber512,3750.8,5087.8,9521.2
Kyber512,3723.2,6972.2,8338.6
Kyber512,3726.0,7292.9,8019.6
Kyber512,3713.6,5319.3,7285.0
Kyber512,3705.8,8346.2,7326.5
Kyber512,3836.4,5100.9,7253.9
Kyber512,3938.3,5084.2,6974.6
Kyber512,3713.3,4915.5,6984.7
Kyber512,4136.2,5540.6,6957.0
Kyber512,3704.5,4869.6,6957.1
Kyber512,5683.7,4982.0,6969.6
Kyber512,4710.1,4886.1,7319.5
Kyber512,4338.9,4887.0,8509.9
Kyber512,4873.8,5215.7,6998.6
Kyber512,3576.7,6083.1,6992.5
Kyber512,3567.0,4893.3,6968.9
Kyber512,3571.8,5989.3,6978.0
Kyber512,3576.3,5987.6,6988.4
Kyber512,3558.1,5957.6,6943.4
Kyber512,3585.8,6016.0,6973.6
Kyber512,3571.0,8053.6,6988.5
Kyber512,3557.4,6175.7,6961.9
Kyber512,3791.8,7237.1,6988.3
Kyber512,6200.9,6322.7,7010.0
Kyber512,5232.6,4860.0,6960.7
Kyber512,8066.7,5347.3,10700.4
Kyber512,3630.5,5019.1,11461.4
Kyber512,3588.9,6089.0,6956.0
Kyber512,3625.9,6238.2,6974.7
Kyber512,3594.8,5953.8,6947.6
Kyber512,3569.1,6362.2,6962.9
Kyber512,3588.4,7008.0,6984.3
Kyber512,4676.4,5231.5,6946.9
Kyber512,6114.9,6956.1,7012.5
Kyber512,6904.6,5327.2,8222.9
Kyber512,3658.1,4882.7,7123.3
Kyber512,3607.5,4895.3,7211.3
Kyber512,3589.7,4899.3,8530.3
Kyber512,4362.0,4926.2,7992.3
Kyber512,3611.8,5857.1,8071.2
Kyber512,3594.9,4883.5,12708.5
Kyber512,3592.6,4926.8,10542.7
Kyber512,3724.6,5666.0,7339.2
Kyber512,3740.0,5059.9,7222.3
Kyber512,3735.7,7273.3,8435.7
Kyber512,3760.7,5997.4,7271.7
Kyber512,3941.5,5081.4,7257.9
Kyber512,4749.5,5047.6,7200.3
Kyber512,6406.3,5056.6,7202.4
Kyber512,3717.1,5055.7,8366.4
Kyber512,3669.9,5019.6,7359.2
Kyber512,3697.4,5048.3,8803.8
Kyber512,3736.5,5058.4,7365.4
Kyber512,3585.6,4852.1,10347.7
Kyber512,3911.6,4865.8,6963.3
Kyber768,6941.8,13381.4,11314.2
Kyber768,8414.2,8296.6,11549.8
Kyber768,6583.0,12907.2,12587.8
