path,pipeline,description,size_mb,throughput_mbps
data\user_data\D1\PXL_20251227_165051684.TS-000.MP.jpg,B,raw + AES + KEM,6.1177873611450195,134.20585584128366
data\user_data\D1\PXL_20251227_165051684.TS-000.MP.jpg,C,raw + AES,6.1177873611450195,736.665669729547
data\user_data\D1\PXL_20251227_165051684.TS-000.MP.jpg,D,gzip + AES + KEM,6.1177873611450195,16.957992336759297
data\user_data\D1\PXL_20260104_142132729.mp4,A,zstd + AES + KEM,8.054511070251465,117.87785142290801
data\user_data\D1\PXL_20260104_142132729.mp4,B,raw + AES + KEM,8.054511070251465,174.92618265706125
data\user_data\D1\PXL_20260104_142132729.mp4,C,raw + AES,8.054511070251465,680.6648247612112
data\user_data\D1\PXL_20260104_142132729.mp4,D,gzip + AES + KEM,8.054511070251465,18.329493660828888
data\user_data\D1\PXL_20260110_101310876.MP.jpg,A,zstd + AES + KEM,6.138520240783691,90.89014220100081
data\user_data\D1\PXL_20260110_101310876.MP.jpg,B,raw + AES + KEM,6.138520240783691,91.65390427235792
data\user_data\D1\PXL_20260110_101310876.MP.jpg,C,raw + AES,6.138520240783691,403.2848860697457
data\user_data\D1\PXL_20260110_101310876.MP.jpg,D,gzip + AES + KEM,6.138520240783691,15.92741636704888
data\user_data\D1\PXL_20260116_161545226.MP.jpg,A,zstd + AES + KEM,6.674646377563477,92.6248194039169
data\user_data\D1\PXL_20260116_161545226.MP.jpg,B,raw + AES + KEM,6.674646377563477,154.04854984439464
data\user_data\D1\PXL_20260116_161545226.MP.jpg,C,raw + AES,6.674646377563477,737.497390199606
data\user_data\D1\PXL_20260116_161545226.MP.jpg,D,gzip + AES + KEM,6.674646377563477,16.838822057907237
data\user_data\D1\PXL_20260116_161547655.MP.jpg,A,zstd + AES + KEM,6.463465690612793,95.1088705507911
data\user_data\D1\PXL_20260116_161547655.MP.jpg,B,raw + AES + KEM,6.463465690612793,154.44842198949107
data\user_data\D1\PXL_20260116_161547655.MP.jpg,C,raw + AES,6.463465690612793,693.4156198770231
data\user_data\D1\PXL_20260116_161547655.MP.jpg,D,gzip + AES + KEM,6.463465690612793,17.128878140870988
data\user_data\D1\PXL_20260122_172242999.MP.jpg,A,zstd + AES + KEM,6.0613861083984375,86.9727921878664
data\user_data\D1\PXL_20260122_172242999.MP.jpg,B,raw + AES + KEM,6.0613861083984375,136.87407094907977
data\user_data\D1\PXL_20260122_172242999.MP.jpg,C,raw + AES,6.0613861083984375,738.7069654496308
data\user_data\D1\PXL_20260122_172242999.MP.jpg,D,gzip + AES + KEM,6.0613861083984375,17.170228841824162
data\user_data\D1\PXL_20260124_115240398.MP.jpg,A,zstd + AES + KEM,6.709484100341797,100.25677424324877
data\user_data\D1\PXL_20260124_115240398.MP.jpg,B,raw + AES + KEM,6.709484100341797,162.4017973327994
data\user_data\D1\PXL_20260124_115240398.MP.jpg,C,raw + AES,6.709484100341797,787.2856044810917
data\user_data\D1\PXL_20260124_115240398.MP.jpg,D,gzip + AES + KEM,6.709484100341797,17.86205414309113
data\user_data\D1\PXL_20260125_130004906.MP.jpg,A,zstd + AES + KEM,6.422316551208496,95.87822405473078
data\user_data\D1\PXL_20260125_130004906.MP.jpg,B,raw + AES + KEM,6.422316551208496,149.3329307181755
data\user_data\D1\PXL_20260125_130004906.MP.jpg,C,raw + AES,6.422316551208496,762.1932547267518
data\user_data\D1\PXL_20260125_130004906.MP.jpg,D,gzip + AES + KEM,6.422316551208496,15.711347578222098
data\user_data\D1\PXL_20260125_130006865.MP.jpg,A,zstd + AES + KEM,6.171470642089844,77.88130847369406
data\user_data\D1\PXL_20260125_130006865.MP.jpg,B,raw + AES + KEM,6.171470642089844,99.43880642337777
data\user_data\D1\PXL_20260125_130006865.MP.jpg,C,raw + AES,6.171470642089844,648.8908016007903
data\user_data\D1\PXL_20260125_130006865.MP.jpg,D,gzip + AES + KEM,6.171470642089844,15.970276595753859
data\user_data\D1\PXL_20260127_165207636.MP.jpg,A,zstd + AES + KEM,6.2840423583984375,90.59358811027876
data\user_data\D1\PXL_20260127_165207636.MP.jpg,B,raw + AES + KEM,6.2840423583984375,130.15074414883972
data\user_data\D1\PXL_20260127_165207636.MP.jpg,C,raw + AES,6.2840423583984375,705.5568802301485
data\user_data\D1\PXL_20260127_165207636.MP.jpg,D,gzip + AES + KEM,6.2840423583984375,16.899324002640306
data\user_data\D1\PXL_20260129_110336318.MP.jpg,A,zstd + AES + KEM,6.908943176269531,100.75884292849827
data\user_data\D1\PXL_20260129_110336318.MP.jpg,B,raw + AES + KEM,6.908943176269531,151.2565005097296
data\user_data\D1\PXL_20260129_110336318.MP.jpg,C,raw + AES,6.908943176269531,765.3981720217766
data\user_data\D1\PXL_20260129_110336318.MP.jpg,D,gzip + AES + KEM,6.908943176269531,17.154549070559337
data\user_data\D1\PXL_20260129_153525007.TS-000.MP.jpg,A,zstd + AES + KEM,6.4588422775268555,87.23379171798835
data\user_data\D1\PXL_20260129_153525007.TS-000.MP.jpg,B,raw + AES + KEM,6.4588422775268555,135.81293725870833
data\user_data\D1\PXL_20260129_153525007.TS-000.MP.jpg,C,raw + AES,6.4588422775268555,670.8046211387664
data\user_data\D1\PXL_20260129_153525007.TS-000.MP.jpg,D,gzip + AES + KEM,6.4588422775268555,16.578252154085934
data\user_data\D1\PXL_20260129_155503127.TS-000.MP.jpg,A,zstd + AES + KEM,6.041681289672852,82.11595359714863
data\user_data\D1\PXL_20260129_155503127.TS-000.MP.jpg,B,raw + AES + KEM,6.041681289672852,134.31599706444385
data\user_data\D1\PXL_20260129_155503127.TS-000.MP.jpg,C,raw + AES,6.041681289672852,734.5687788679865
data\user_data\D1\PXL_20260129_155503127.TS-000.MP.jpg,D,gzip + AES + KEM,6.041681289672852,16.707085149753752
data\user_data\D1\PXL_20260129_155506941.MP.jpg,A,zstd + AES + KEM,6.182991027832031,89.36417410778115
data\user_data\D1\PXL_20260129_155506941.MP.jpg,B,raw + AES + KEM,6.182991027832031,132.8829611527726
data\user_data\D1\PXL_20260129_155506941.MP.jpg,C,raw + AES,6.182991027832031,708.4330348231897
data\user_data\D1\PXL_20260129_155506941.MP.jpg,D,gzip + AES + KEM,6.182991027832031,14.588123858109167
data\user_data\D1\PXL_20260129_155521565.MP.jpg,A,zstd + AES + KEM,6.308686256408691,66.68533667492922
data\user_data\D1\PXL_20260129_155521565.MP.jpg,B,raw + AES + KEM,6.308686256408691,127.39570486858709
data\user_data\D1\PXL_20260129_155521565.MP.jpg,C,raw + AES,6.308686256408691,654.3262196144042
data\user_data\D1\PXL_20260129_155521565.MP.jpg,D,gzip + AES + KEM,6.308686256408691,15.913071453388472
data\user_data\D1\PXL_20260129_155547683.MP.jpg,A,zstd + AES + KEM,6.784265518188477,96.9241711638598
data\user_data\D1\PXL_20260129_155547683.MP.jpg,B,raw + AES + KEM,6.784265518188477,160.64999903040297
data\user_data\D1\PXL_20260129_155547683.MP.jpg,C,raw + AES,6.784265518188477,712.363552107781
data\user_data\D1\PXL_20260129_155547683.MP.jpg,D,gzip + AES + KEM,6.784265518188477,17.323920420315815
data\user_data\D1\PXL_20260129_155609801.MP.jpg,A,zstd + AES + KEM,7.340640068054199,101.55712041644547
data\user_data\D1\PXL_20260129_155609801.MP.jpg,B,raw + AES + KEM,7.340640068054199,143.66987910476462
data\user_data\D1\PXL_20260129_155609801.MP.jpg,C,raw + AES,7.340640068054199,726.6665436034086
data\user_data\D1\PXL_20260129_155609801.MP.jpg,D,gzip + AES + KEM,7.340640068054199,17.42482181721258
data\user_data\D1\PXL_20260129_155616416.TS-000.MP.jpg,A,zstd + AES + KEM,6.195025444030762,95.99898096319444
data\user_data\D1\PXL_20260129_155616416.TS-000.MP.jpg,B,raw + AES + KEM,6.195025444030762,150.39280250614883
data\user_data\D1\PXL_20260129_155616416.TS-000.MP.jpg,C,raw + AES,6.195025444030762,760.8259670290506
data\user_data\D1\PXL_20260129_155616416.TS-000.MP.jpg,D,gzip + AES + KEM,6.195025444030762,17.15156562615729
