path,pipeline,size_mb,t_comp_ms,t_aes_ms,t_kem_ms,t_total_ms
data\user_data\D1\PXL_20260125_130006865.MP.jpg,A,6.171470642089844,33.38679997250438,8.94299999345094,36.91219998290762,79.24199994886294
data\user_data\D1\PXL_20260125_130006865.MP.jpg,B,6.171470642089844,0.0,8.754200011026114,53.308799979276955,62.06299999030307
data\user_data\D1\PXL_20260125_130006865.MP.jpg,C,6.171470642089844,0.0,9.510800009593368,0.0,9.510800009593368
data\user_data\D1\PXL_20260125_130006865.MP.jpg,D,6.171470642089844,342.50329999485984,8.637199993245304,35.29430000344291,386.43479999154806
data\user_data\D1\PXL_20260127_165207636.MP.jpg,A,6.2840423583984375,25.857699976768345,9.34750004671514,34.1599999810569,69.36520000454038
data\user_data\D1\PXL_20260127_165207636.MP.jpg,B,6.2840423583984375,0.0,8.567300043068826,39.71550002461299,48.28280006768182
data\user_data\D1\PXL_20260127_165207636.MP.jpg,C,6.2840423583984375,0.0,8.906500006560236,0.0,8.906500006560236
data\user_data\D1\PXL_20260127_165207636.MP.jpg,D,6.2840423583984375,330.55179996881634,7.87329999729991,33.42659998452291,371.85169995063916
data\user_data\D1\PXL_20260129_110336318.MP.jpg,A,6.908943176269531,24.78279999922961,9.463800000958145,34.32249999605119,68.56909999623895
data\user_data\D1\PXL_20260129_110336318.MP.jpg,B,6.908943176269531,0.0,9.478599997237325,36.19840001920238,45.677000016439706
data\user_data\D1\PXL_20260129_110336318.MP.jpg,C,6.908943176269531,0.0,9.026600047945976,0.0,9.026600047945976
data\user_data\D1\PXL_20260129_110336318.MP.jpg,D,6.908943176269531,355.3006000001915,9.271700051613152,38.17470005014911,402.74700010195374
data\user_data\D1\PXL_20260129_153525007.TS-000.MP.jpg,A,6.4588422775268555,26.51170000899583,9.413000021595508,38.11589995166287,74.04059998225421
data\user_data\D1\PXL_20260129_153525007.TS-000.MP.jpg,B,6.4588422775268555,0.0,8.792200009338558,38.76470000250265,47.55690001184121
data\user_data\D1\PXL_20260129_153525007.TS-000.MP.jpg,C,6.4588422775268555,0.0,9.628499974496663,0.0,9.628499974496663
data\user_data\D1\PXL_20260129_153525007.TS-000.MP.jpg,D,6.4588422775268555,346.1729999980889,8.184099977370352,35.24019999895245,389.5972999744117
data\user_data\D1\PXL_20260129_155503127.TS-000.MP.jpg,A,6.041681289672852,20.897400041576475,8.06879997253418,44.608800031710416,73.57500004582107
data\user_data\D1\PXL_20260129_155503127.TS-000.MP.jpg,B,6.041681289672852,0.0,8.08359996881336,36.89749998738989,44.98109995620325
data\user_data\D1\PXL_20260129_155503127.TS-000.MP.jpg,C,6.041681289672852,0.0,8.224799996241927,0.0,8.224799996241927
data\user_data\D1\PXL_20260129_155503127.TS-000.MP.jpg,D,6.041681289672852,318.5535999946296,7.8440000070258975,35.22630000952631,361.62390001118183
data\user_data\D1\PXL_20260129_155506941.MP.jpg,A,6.182991027832031,23.115199990570545,8.33849998889491,37.73499996168539,69.18869994115084
data\user_data\D1\PXL_20260129_155506941.MP.jpg,B,6.182991027832031,0.0,9.108300029765815,37.42129995953292,46.52959998929873
data\user_data\D1\PXL_20260129_155506941.MP.jpg,C,6.182991027832031,0.0,8.727700042072684,0.0,8.727700042072684
data\user_data\D1\PXL_20260129_155506941.MP.jpg,D,6.182991027832031,368.01289999857545,10.016699961852282,45.807700022123754,423.8372999825515
data\user_data\D1\PXL_20260129_155521565.MP.jpg,A,6.308686256408691,30.074000009335577,9.888700034935027,54.64109999593347,94.60380004020408
data\user_data\D1\PXL_20260129_155521565.MP.jpg,B,6.308686256408691,0.0,9.371399995870888,40.148999949451536,49.520399945322424
data\user_data\D1\PXL_20260129_155521565.MP.jpg,C,6.308686256408691,0.0,9.641500015277416,0.0,9.641500015277416
data\user_data\D1\PXL_20260129_155521565.MP.jpg,D,6.308686256408691,353.3891000552103,8.612799982074648,34.444899996742606,396.44680003402755
data\user_data\D1\PXL_20260129_155547683.MP.jpg,A,6.784265518188477,25.898899999447167,9.027799998875707,35.068900033365935,69.99560003168881
data\user_data\D1\PXL_20260129_155547683.MP.jpg,B,6.784265518188477,0.0,8.925999980419874,33.304099983070046,42.23009996348992
data\user_data\D1\PXL_20260129_155547683.MP.jpg,C,6.784265518188477,0.0,9.52359999064356,0.0,9.52359999064356
data\user_data\D1\PXL_20260129_155547683.MP.jpg,D,6.784265518188477,344.89349997602403,8.44800000777468,38.27110002748668,391.6126000112854
data\user_data\D1\PXL_20260129_155609801.MP.jpg,A,7.340640068054199,27.924699999857694,9.213300014380366,35.142900014761835,72.2809000289999
data\user_data\D1\PXL_20260129_155609801.MP.jpg,B,7.340640068054199,0.0,9.913699992466718,41.18010000092909,51.093799993395805
data\user_data\D1\PXL_20260129_155609801.MP.jpg,C,7.340640068054199,0.0,10.101799969561398,0.0,10.101799969561398
data\user_data\D1\PXL_20260129_155609801.MP.jpg,D,7.340640068054199,379.0688999579288,9.641700016800314,32.56429999601096,421.2748999707401
data\user_data\D1\PXL_20260129_155616416.TS-000.MP.jpg,A,6.195025444030762,24.869800021406263,8.311600016895682,31.35080001084134,64.53220004914328
data\user_data\D1\PXL_20260129_155616416.TS-000.MP.jpg,B,6.195025444030762,0.0,8.287100004963577,32.90520003065467,41.192300035618246
data\user_data\D1\PXL_20260129_155616416.TS-000.MP.jpg,C,6.195025444030762,0.0,8.142500009853393,0.0,8.142500009853393
data\user_data\D1\PXL_20260129_155616416.TS-000.MP.jpg,D,6.195025444030762,319.7352000279352,8.195400005206466,33.26240001479164,361.1930000479333
data\user_data\D1\PXL_20260129_160048311.TS-000.MP.jpg,A,6.483567237854004,24.36790004139766,8.381899970117956,32.9321000026539,65.68190001416951
data\user_data\D1\PXL_20260129_160048311.TS-000.MP.jpg,B,6.483567237854004,0.0,8.861199952661991,33.69660000316799,42.55779995582998
data\user_data\D1\PXL_20260129_160048311.TS-000.MP.jpg,C,6.483567237854004,0.0,8.81420000223443,0.0,8.81420000223443
data\user_data\D1\PXL_20260129_160048311.TS-000.MP.jpg,D,6.483567237854004,324.92659997660667,8.387900015804917,32.554399978835136,365.8688999712467
data\user_data\D1\PXL_20260129_160249636.TS-000.MP.jpg,A,6.272109031677246,23.55909999459982,8.199399977456778,33.313099993392825,65.07159996544942
data\user_data\D1\PXL_20260129_160249636.TS-000.MP.jpg,B,6.272109031677246,0.0,8.56530002783984,32.6340000028722,41.19930003071204
data\user_data\D1\PXL_20260129_160249636.TS-000.MP.jpg,C,6.272109031677246,0.0,8.306099975015968,0.0,8.306099975015968
data\user_data\D1\PXL_20260129_160249636.TS-000.MP.jpg,D,6.272109031677246,312.6003999495879,7.928500010166317,32.44869998889044,352.97759994864464
data\user_data\D1\PXL_20260224_102656638.TS-000.MP.jpg,A,6.20916748046875,26.523000036831945,8.050900010857731,36.95560002233833,71.529500070028
data\user_data\D1\PXL_20260224_102656638.TS-000.MP.jpg,B,6.20916748046875,0.0,8.530299994163215,34.47570005664602,43.006000050809234
data\user_data\D1\PXL_20260224_102656638.TS-000.MP.jpg,C,6.20916748046875,0.0,8.558599976822734,0.0,8.558599976822734
data\user_data\D1\PXL_20260224_102656638.TS-000.MP.jpg,D,6.20916748046875,347.8577999630943,8.414399984758347,35.587199963629246,391.8593999114819
data\user_data\D1\PXL_20260224_102700211.TS-000.MP.jpg,A,6.82878303527832,37.81519999029115,8.93120002001524,62.37239995971322,109.11879997001961
data\user_data\D1\PXL_20260224_102700211.TS-000.MP.jpg,B,6.82878303527832,0.0,8.973199990577996,35.47880001133308,44.452000001911074
data\user_data\D1\PXL_20260224_102700211.TS-000.MP.jpg,C,6.82878303527832,0.0,9.473899961449206,0.0,9.473899961449206
