path,kind,size_bytes,payload_bytes_processed,l_io_read_ms,l_io_write_ms,l_kem_ms,l_aes_ms,l_total_ms,kem_ok,aes_ok,kem_ciphertext_bytes,aes_ciphertext_bytes,dataset_id,run_id,file_index
data\user_data\D1\PXL_20251226_065017813.MP.jpg,images,6458987,6458987,7.9661,0.0,48.7666,10.8626,67.5953,True,True,1568,6459003,D1,D1_r1,19
data\user_data\D1\PXL_20251226_065523407.TS-000.MP.jpg,images,6388874,6388874,9.4702,0.0,49.486,10.7787,69.7349,True,True,1568,6388890,D1,D1_r1,20
data\user_data\D1\PXL_20251226_065644794.MP.jpg,images,6532369,6532369,8.6699,0.0,46.632,10.3615,65.6634,True,True,1568,6532385,D1,D1_r1,21
data\user_data\D1\PXL_20251226_070459627.MP.jpg,images,6619424,6619424,9.8252,0.0,48.8596,10.6374,69.32220000000001,True,True,1568,6619440,D1,D1_r1,22
data\user_data\D1\PXL_20251226_070701079.MP.jpg,images,6449206,6449206,7.9483,0.0,50.3706,12.136,70.4549,True,True,1568,6449222,D1,D1_r1,23
data\user_data\D1\PXL_20251227_164939125.MP.jpg,images,6511579,6511579,9.0126,0.0,50.3244,9.4936,68.8306,True,True,1568,6511595,D1,D1_r1,24
data\user_data\D1\PXL_20251227_165051684.TS-000.MP.jpg,images,6414965,6414965,9.3631,0.0,76.2541,9.0102,94.6274,True,True,1568,6414981,D1,D1_r1,25
data\user_data\D1\PXL_20260104_142132729.mp4,binaries,8445767,8445767,10.2557,0.0,48.5174,15.0397,73.8128,True,True,1568,8445783,D1,D1_r1,26
data\user_data\D1\PXL_20260110_101310876.MP.jpg,images,6436705,6436705,9.5118,0.0,92.5415,13.0081,115.06139999999999,True,True,1568,6436721,D1,D1_r1,27
data\user_data\D1\PXL_20260116_161545226.MP.jpg,images,6998874,6998874,37.3697,0.0,169.2142,14.9249,221.5088,True,True,1568,6998890,D1,D1_r1,28
data\user_data\D1\PXL_20260116_161547655.MP.jpg,images,6777435,6777435,35.1423,0.0,46.2489,10.7067,92.0979,True,True,1568,6777451,D1,D1_r1,29
data\user_data\D1\PXL_20260122_172242999.MP.jpg,images,6355824,6355824,8.5778,0.0,49.9524,10.4603,68.9905,True,True,1568,6355840,D1,D1_r1,30
data\user_data\D1\PXL_20260124_115240398.MP.jpg,images,7035404,7035404,8.5609,0.0,49.3157,10.5699,68.4465,True,True,1568,7035420,D1,D1_r1,31
data\user_data\D1\PXL_20260125_130004906.MP.jpg,images,6734287,6734287,8.5474,0.0,44.1988,9.9288,62.675000000000004,True,True,1568,6734303,D1,D1_r1,32
data\user_data\D1\PXL_20260125_130006865.MP.jpg,images,6471256,6471256,7.7576,0.0,43.1143,9.524,60.3959,True,True,1568,6471272,D1,D1_r1,33
data\user_data\D1\PXL_20260127_165207636.MP.jpg,images,6589296,6589296,8.3837,0.0,43.2809,9.1293,60.7939,True,True,1568,6589312,D1,D1_r1,34
data\user_data\D1\PXL_20260129_110336318.MP.jpg,images,7244552,7244552,7.8001,0.0,39.5315,9.8665,57.198100000000004,True,True,1568,7244568,D1,D1_r1,35
data\user_data\D1\PXL_20260129_153525007.TS-000.MP.jpg,images,6772587,6772587,7.771,0.0,39.6184,9.2669,56.6563,True,True,1568,6772603,D1,D1_r1,36
data\user_data\D1\PXL_20260129_155503127.TS-000.MP.jpg,images,6335162,6335162,7.7273,0.0,40.0731,8.718,56.5184,True,True,1568,6335178,D1,D1_r1,37
data\user_data\D1\PXL_20260129_155506941.MP.jpg,images,6483336,6483336,8.1034,0.0,41.9259,8.5659,58.5952,True,True,1568,6483352,D1,D1_r1,38
data\user_data\D1\PXL_20260129_155521565.MP.jpg,images,6615137,6615137,8.3542,0.0,43.5725,9.2241,61.1508,True,True,1568,6615153,D1,D1_r1,39
data\user_data\D1\PXL_20260129_155547683.MP.jpg,images,7113818,7113818,8.2825,0.0,40.8259,10.1951,59.3035,True,True,1568,7113834,D1,D1_r1,40
data\user_data\D1\PXL_20260129_155609801.MP.jpg,images,7697219,7697219,9.3786,0.0,36.4308,10.3156,56.125,True,True,1568,7697235,D1,D1_r1,41
data\user_data\D1\PXL_20260129_155616416.TS-000.MP.jpg,images,6495955,6495955,7.2574,0.0,36.4113,10.3457,54.014399999999995,True,True,1568,6495971,D1,D1_r1,42
data\user_data\D1\PXL_20260129_160048311.TS-000.MP.jpg,images,6798513,6798513,10.0377,0.0,39.2828,9.0206,58.341100000000004,True,True,1568,6798529,D1,D1_r1,43
data\user_data\D1\PXL_20260129_160249636.TS-000.MP.jpg,images,6576783,6576783,10.5137,0.0,39.0805,8.5843,58.1785,True,True,1568,6576799,D1,D1_r1,44
data\user_data\D1\PXL_20260224_102656638.TS-000.MP.jpg,images,6510784,6510784,7.7918,0.0,44.1907,9.541,61.5235,True,True,1568,6510800,D1,D1_r1,45
data\user_data\D1\PXL_20260224_102700211.TS-000.MP.jpg,images,7160498,7160498,8.9414,0.0,52.1029,11.0478,72.0921,True,True,1568,7160514,D1,D1_r1,46
data\user_data\D1\PXL_20260313_104321385.mp4,binaries,25678153,25678153,29.0536,0.0,77.2326,38.8818,145.168,True,True,1568,25678169,D1,D1_r1,47
data\user_data\D1\PXL_20260313_104334573.mp4,binaries,59376907,59376907,64.2818,0.0,44.9716,88.364,197.6174,True,True,1568,59376923,D1,D1_r1,48
data\user_data\D1\PXL_20260314_144839464.mp4,binaries,46056905,46056905,51.3583,0.0,45.3554,69.4891,166.2028,True,True,1568,46056921,D1,D1_r1,49
data\user_data\D1\PXL_20260314_150036469.mp4,binaries,29097562,29097562,37.2379,0.0,87.2197,45.0814,169.53900000000002,True,True,1568,29097578,D1,D1_r1,50
data\user_data\D1\PXL_20260314_150050400.mp4,binaries,47366967,47366967,50.0816,0.0,49.5116,71.466,171.05919999999998,True,True,1568,47366983,D1,D1_r1,51
